Epoch: 48	 Train D Loss: -0.16870181858539582 	 Train G Loss: 1.382574439048767	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 49	 Train D Loss: -0.18332559764385223 	 Train G Loss: 0.9074937701225281	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 50	 Train D Loss: -0.24230188131332397 	 Train G Loss: 1.446691870689392	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 51	 Train D Loss: -0.17825368642807007 	 Train G Loss: 1.3009309768676758	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 52	 Train D Loss: -0.16148468255996704 	 Train G Loss: 1.2357951402664185	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 53	 Train D Loss: -0.20619313418865204 	 Train G Loss: 1.817832589149475	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 54	 Train D Loss: -0.16302199959754943 	 Train G Loss: 1.408778190612793	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 55	 Train D Loss: -0.17409076988697053 	 Train G Loss: 1.0946111679077148	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 56	 Train D Loss: -0.16108590066432954 	 Train G Loss: 0.4576491415500641	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 57	 Train D Loss: -0.19075324535369872 	 Train G Loss: 0.8436764478683472	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 58	 Train D Loss: -0.16261924803256989 	 Train G Loss: 0.8250672817230225	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 59	 Train D Loss: -0.14584170281887054 	 Train G Loss: 0.9881902933120728	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 60	 Train D Loss: -0.21777115762233734 	 Train G Loss: 1.2363924980163574	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 61	 Train D Loss: -0.16617083549499512 	 Train G Loss: 1.2192041873931885	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 62	 Train D Loss: -0.14718771874904632 	 Train G Loss: 1.4175838232040405	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 63	 Train D Loss: -0.16700149178504944 	 Train G Loss: 1.8617253303527832	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 64	 Train D Loss: -0.13626508712768554 	 Train G Loss: 0.8734202980995178	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 65	 Train D Loss: -0.14514439702033996 	 Train G Loss: 0.9839404821395874	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 66	 Train D Loss: -0.16239598989486695 	 Train G Loss: 0.9314509630203247	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 67	 Train D Loss: -0.16440262794494628 	 Train G Loss: 1.3488045930862427	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 68	 Train D Loss: -0.13662046790122986 	 Train G Loss: 0.9872912764549255	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 69	 Train D Loss: -0.16438202559947968 	 Train G Loss: 0.5725160241127014	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 70	 Train D Loss: -0.12338229715824127 	 Train G Loss: 0.9987475872039795	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 71	 Train D Loss: -0.1404297962784767 	 Train G Loss: 1.1047924757003784	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 72	 Train D Loss: -0.14005954265594484 	 Train G Loss: 1.0037888288497925	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 73	 Train D Loss: -0.12711507081985474 	 Train G Loss: 1.702046513557434	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 74	 Train D Loss: -0.14569926708936692 	 Train G Loss: 1.31174898147583	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 75	 Train D Loss: -0.14505316615104674 	 Train G Loss: 1.1205803155899048	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 76	 Train D Loss: -0.16500201523303987 	 Train G Loss: 1.3253870010375977	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 77	 Train D Loss: -0.12664521038532256 	 Train G Loss: 0.7204098105430603	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 78	 Train D Loss: -0.18124480545520782 	 Train G Loss: 1.191493272781372	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 79	 Train D Loss: -0.12410467118024826 	 Train G Loss: 0.7507264018058777	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 80	 Train D Loss: -0.1343588650226593 	 Train G Loss: 1.3168132305145264	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 81	 Train D Loss: -0.2277834564447403 	 Train G Loss: 1.5333640575408936	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 82	 Train D Loss: -0.1660389393568039 	 Train G Loss: 1.5767898559570312	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 83	 Train D Loss: -0.10814486891031265 	 Train G Loss: 1.068287968635559	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 84	 Train D Loss: -0.17102850675582887 	 Train G Loss: 0.49319738149642944	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 85	 Train D Loss: -0.19119153022766114 	 Train G Loss: -0.21003301441669464	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 86	 Train D Loss: -0.10919673293828965 	 Train G Loss: 0.2642398774623871	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 87	 Train D Loss: -0.13943016529083252 	 Train G Loss: 0.3993160128593445	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 88	 Train D Loss: -0.2442720949649811 	 Train G Loss: 0.9248759746551514	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 89	 Train D Loss: -0.17064362466335298 	 Train G Loss: 1.238181233406067	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 90	 Train D Loss: -0.11876702755689621 	 Train G Loss: 0.9380433559417725	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 91	 Train D Loss: -0.1942084789276123 	 Train G Loss: 0.78298020362854	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 92	 Train D Loss: -0.25024735927581787 	 Train G Loss: 0.062368497252464294	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 93	 Train D Loss: -0.16109000742435456 	 Train G Loss: 0.3476986587047577	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 94	 Train D Loss: -0.11934413313865662 	 Train G Loss: 1.1843852996826172	 Val D Loss: 0 	 Val G Loss: 0
