Epochs,Discriminator Train Loss,Discriminator Validation Loss,Generator Train Loss,Generator Validation Loss
1.0,0.689180850982666,0.6696501970291138,82.01921735491071,75.42108917236328
2.0,0.6377605029514858,0.6062031984329224,74.30807931082589,69.18843078613281
3.0,0.5905024664742606,0.5781316161155701,67.53335571289062,62.559303283691406
4.0,0.5196452822004046,0.5893091559410095,63.487378801618306,59.404457092285156
5.0,0.4445726530892508,0.59651118516922,60.74058314732143,57.33366394042969
6.0,0.36054110527038574,0.6268819570541382,56.75785173688616,54.649112701416016
7.0,0.30302299771990093,0.7434414625167847,53.074332101004465,52.48232650756836
8.0,0.24709883757999965,0.7367226481437683,51.03338623046875,51.026939392089844
9.0,0.215778078351702,0.8123922348022461,48.119027273995535,49.31239318847656
10.0,0.35435114588056293,0.638443648815155,45.04469517299107,48.340126037597656
11.0,0.3072726045336042,0.6232497692108154,42.61541748046875,46.440406799316406
12.0,0.2947303227015904,0.6775050759315491,41.679761614118306,45.98893737792969
13.0,0.2592411722455706,0.7058571577072144,40.583282470703125,45.60331726074219
14.0,0.28263490540640696,0.6420745849609375,39.755262102399556,45.745887756347656
15.0,0.26644768033708843,0.6004131436347961,39.15086146763393,46.42601013183594
16.0,0.2438211441040039,0.5820422172546387,38.247693743024556,45.74903106689453
17.0,0.22136977740696498,0.6303911209106445,38.314910888671875,45.404727935791016
18.0,0.24666357040405273,0.6849238276481628,37.608433314732146,44.69744110107422
19.0,0.22882747650146484,0.6251442432403564,37.481297084263396,44.413116455078125
20.0,0.18061990397317068,0.5995575189590454,37.158826555524556,45.001197814941406
21.0,0.18952935082571848,0.6412333846092224,36.449593680245535,44.214210510253906
22.0,0.27267139298575266,0.643368124961853,36.238124302455354,44.35523986816406
23.0,0.1490489755358015,0.6421520709991455,36.07378714425223,44.188499450683594
24.0,0.14637924943651473,0.6196517944335938,35.13662501743862,44.01523208618164
25.0,0.16958013602665492,0.6043294668197632,34.72426060267857,45.427406311035156
26.0,0.15000362055642263,0.6591470241546631,34.73560660226004,45.27704620361328
27.0,0.10952882255826678,0.6405268907546997,35.59716360909598,45.040916442871094
28.0,0.12367956978934151,0.661955714225769,34.25713021414621,44.21718215942383
29.0,0.2751635994229998,0.6144025325775146,34.17924499511719,43.577293395996094
30.0,0.08146367754255023,0.6265217661857605,34.023045131138396,43.187252044677734
