Epochs,Discriminator Train Loss,Discriminator Validation Loss,Generator Train Loss,Generator Validation Loss
1,0.7392903055463519,0.7018219232559204,73.91854422433036,48.64318084716797
2,0.5979001181466239,0.6752832531929016,61.908595493861604,49.63111877441406
3,0.5440780094691685,0.6245670318603516,56.51006644112723,49.63099670410156
4,0.33610578945704866,0.5153488516807556,52.60280064174107,50.50971984863281
5,0.180478606905256,0.5908428430557251,50.087794712611604,48.044921875
6,0.08656844070979527,0.6897809505462646,48.25411115373884,51.685569763183594
7,0.055859574249812534,0.7490850687026978,46.145089285714285,46.390045166015625
8,0.04475441149302891,0.8291889429092407,45.522365025111604,45.6167106628418
9,0.49061829703194754,0.9772552847862244,43.223667689732146,49.68783187866211
10,0.20843756198883057,0.7237985730171204,42.027784075055806,45.089988708496094
11,0.49924540519714355,0.6540398001670837,40.59098597935268,44.511192321777344
12,0.3527329649244036,0.7676772475242615,39.90790230887277,43.68778991699219
13,0.3098987511226109,0.7114912271499634,38.101449148995535,43.66437911987305
14,0.587214469909668,0.8780194520950317,37.90915788922991,43.64776611328125
15,0.5683509281703404,0.6392910480499268,35.787035260881694,42.86323547363281
16,0.35835310391017366,0.698186993598938,36.16702924455915,42.450904846191406
17,0.39151385852268766,0.668731153011322,35.10985892159598,43.21501541137695
18,0.4210903303963797,0.6010332107543945,35.47903660365513,40.66254425048828
19,0.2155200753893171,0.6892598867416382,35.77481297084263,42.29721450805664
20,0.5307447569710868,0.879697322845459,34.693795340401785,42.08020782470703
21,0.26926866599491667,0.7443840503692627,33.80764988490513,43.27079391479492
22,0.36306289264134,0.5915987491607666,33.91060093470982,41.6134147644043
23,0.1352222646985735,0.6595655083656311,33.73298863002232,43.56067657470703
24,0.07709066356931414,0.666205644607544,34.406215122767854,41.850303649902344
25,0.06175881624221802,0.6631402969360352,33.922215053013396,43.06363296508789
26,0.15566488674708776,0.9540464878082275,34.12536403111049,41.98931121826172
27,0.4510392802102225,0.9147673845291138,32.328260149274556,41.756858825683594
28,0.3039554868425642,0.6406924724578857,31.710277012416295,42.134605407714844
29,0.30617380142211914,0.7952824234962463,32.17318507603237,40.83683776855469
30,0.2920323780604771,0.5892704129219055,30.75351824079241,43.646240234375
31,0.052692528281893046,0.7992109060287476,32.96916198730469,43.389747619628906
32,0.03477900155952999,0.6658064126968384,32.32781546456473,41.235633850097656
33,0.06428183828081403,0.674616813659668,32.39248875209263,42.135231018066406
34,0.0392731385571616,0.7541576027870178,32.735974993024556,41.364559173583984
35,0.02192821034363338,0.9820272922515869,32.690194266183035,41.654754638671875
36,0.04970007283346994,0.9519133567810059,32.48779950823103,40.25498962402344
37,0.015552007726260595,0.8034888505935669,31.222440447126115,41.222320556640625
38,0.017153728221143996,1.270075798034668,31.876798357282365,41.638885498046875
39,0.02744522052151816,0.9542380571365356,30.688949584960938,40.718101501464844
40,0.014138318598270416,1.2796728610992432,31.920425415039062,41.97135925292969
41,0.013164771454674857,1.3198848962783813,31.407113211495535,42.90015411376953
42,0.009746059775352478,1.3533107042312622,31.527821132114955,42.21968078613281
43,0.024232323680605208,0.9466742277145386,31.102953229631698,41.23307418823242
44,0.014485451791967665,1.076547622680664,31.22810799734933,41.2841911315918
45,0.017652712762355804,1.1371164321899414,31.054373604910715,40.6968994140625
46,0.012785089867455619,1.2609374523162842,30.69948468889509,40.44633865356445
47,0.00653715751000813,1.298572301864624,30.89806910923549,41.00457763671875
48,0.008774951632533754,1.2721892595291138,30.139129638671875,41.95704650878906
49,0.006581554987600872,1.3505622148513794,29.995858328683035,41.032081604003906
50,0.005870374185698373,1.1289550065994263,29.896619524274552,41.132972717285156
51,0.006890559835093362,1.1145453453063965,30.021275111607142,42.461524963378906
52,0.01070164782660348,1.2389628887176514,30.002731323242188,40.82332229614258
53,0.023329937032290866,1.1648882627487183,29.75447736467634,43.19744110107422
54,1.1784745625087194,0.8100041151046753,26.16129629952567,41.36346435546875
55,0.5802412033081055,0.6764612793922424,24.508699689592635,37.66902160644531
56,0.3390038694654192,0.656697154045105,24.270015171595983,39.78077697753906
57,0.06803242649350848,0.8653451204299927,27.11370849609375,38.46066665649414
58,0.017757374261106764,0.8789253234863281,27.457190377371653,40.183509826660156
59,0.028687300426619395,1.1486499309539795,27.494456699916295,41.05632781982422
60,0.008472834846803121,0.905620813369751,27.69787815638951,38.6964111328125
61,0.017863588673727854,1.0382286310195923,27.38930184500558,39.674251556396484
62,0.014356814324855804,1.0743439197540283,27.497931344168528,39.50949478149414
63,0.01250247550862176,1.046579360961914,27.546210152762278,40.119956970214844
64,0.008943088352680206,1.0861790180206299,28.134911673409597,41.957489013671875
65,0.004837451236588615,1.2930809259414673,28.511274065290177,40.992706298828125
66,0.0094316942351205,1.2900125980377197,28.11041477748326,43.17816162109375
67,0.008738700832639421,1.0107018947601318,28.232711791992188,40.004005432128906
68,0.00972468193088259,1.1094820499420166,28.340571812220983,41.81464385986328
69,0.00528259522148541,1.5181987285614014,27.975995744977677,39.688804626464844
70,0.0036125686019659042,1.2905099391937256,26.895553588867188,39.68394088745117
71,0.009544037282466888,1.1256756782531738,27.190743582589285,40.24169921875
72,0.005530933716467449,1.621964931488037,27.85129874093192,41.336021423339844
73,0.0032172080661569324,1.442887783050537,27.008250645228795,40.53941345214844
